dataset,task_type,model,seed,features,val_score,test_score
adult,original,LGBModel,0,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]",[0.8523],[0.8627]
adult,original,BaggedLGBModel,0,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8589, 0.8582]","[0.8624, 0.8633]"
adult,original,LGBModel,1,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]",[0.8504],[0.8625]
adult,original,BaggedLGBModel,1,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1']]","[0.8585, 0.8581, 0.8586, 0.858]","[0.8629, 0.8631, 0.8625, 0.862]"
adult,original,LGBModel,2,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1']]","[0.8577, 0.8585]","[0.8609, 0.861]"
adult,original,BaggedLGBModel,2,"[['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'native-country', 'AG_normal_noise_1']]","[0.8586, 0.8581, 0.859, 0.8587]","[0.8632, 0.8626, 0.8619, 0.8625]"
adult,normal_easy,LGBModel,0,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'AG_normal_noise_1'], ['noise_1', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'AG_normal_noise_1']]","[0.8514, 0.8522, 0.8526, 0.8546, 0.8528, 0.8539]","[0.8626, 0.8628, 0.8607, 0.8641, 0.8611, 0.8623]"
adult,normal_easy,BaggedLGBModel,0,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8585, 0.858, 0.8589, 0.8584, 0.8594]","[0.862, 0.8618, 0.8627, 0.8628, 0.8623]"
adult,normal_easy,LGBModel,1,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]",[0.8512],[0.8618]
adult,normal_easy,BaggedLGBModel,1,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'native-country', 'AG_normal_noise_1']]","[0.858, 0.858, 0.8581, 0.8584, 0.8582]","[0.8626, 0.8618, 0.8617, 0.863, 0.8623]"
adult,normal_easy,LGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8573, 0.8583, 0.8578, 0.8576]","[0.8588, 0.86, 0.861, 0.8617]"
adult,normal_easy,BaggedLGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'native-country', 'AG_normal_noise_1']]","[0.8583, 0.8591, 0.8584, 0.8587]","[0.8625, 0.8622, 0.863, 0.8625]"
adult,normal_hard,LGBModel,0,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8536, 0.853, 0.854, 0.8539, 0.8531, 0.8521, 0.8537, 0.8532, 0.8549, 0.8527]","[0.8594, 0.8611, 0.8605, 0.8627, 0.8606, 0.8616, 0.8615, 0.8598, 0.86, 0.8613]"
